"planning unit","number","available","partial","reserved"
5147,10,10,0,0
5146,10,10,0,0
5145,10,9,1,0
5144,10,9,1,0
5143,10,7,0,3
5142,10,6,1,3
5141,10,7,0,3
5140,10,5,1,4
5139,10,9,1,0
5138,10,8,0,2
5137,10,6,0,4
5136,10,8,0,2
5135,10,6,3,1
5134,10,9,1,0
5133,10,10,0,0
5132,10,10,0,0
5131,10,10,0,0
5130,10,10,0,0
5129,10,10,0,0
5128,10,10,0,0
5127,10,10,0,0
5126,10,10,0,0
5125,10,10,0,0
5124,10,10,0,0
5123,10,10,0,0
5122,10,10,0,0
5121,10,10,0,0
5120,10,10,0,0
5119,10,10,0,0
5118,10,10,0,0
5117,10,10,0,0
5116,10,10,0,0
5115,10,10,0,0
5114,10,10,0,0
5113,10,10,0,0
5112,10,10,0,0
5111,10,10,0,0
5110,10,10,0,0
5109,10,10,0,0
5108,10,10,0,0
5107,10,10,0,0
5106,10,10,0,0
5105,10,10,0,0
5104,10,10,0,0
5103,10,10,0,0
5102,10,10,0,0
5101,10,10,0,0
5100,10,10,0,0
5099,10,10,0,0
5098,10,10,0,0
5097,10,10,0,0
5096,10,10,0,0
5095,10,10,0,0
5094,10,10,0,0
5093,10,9,0,1
5092,10,6,0,4
5091,10,7,0,3
5090,10,6,1,3
5089,10,2,2,6
5088,10,0,3,7
5087,10,0,3,7
5086,10,10,0,0
5073,10,9,0,1
5072,10,9,0,1
5071,10,10,0,0
5070,10,7,1,2
5069,10,9,0,1
5068,10,9,0,1
5067,10,9,0,1
5066,10,9,0,1
5065,10,10,0,0
5064,10,10,0,0
5063,10,10,0,0
5062,10,10,0,0
5061,10,10,0,0
5060,10,10,0,0
5059,10,10,0,0
5058,10,10,0,0
5057,10,10,0,0
5056,10,10,0,0
5055,10,10,0,0
5054,10,10,0,0
5053,10,10,0,0
5052,10,10,0,0
5051,10,10,0,0
5050,10,10,0,0
5049,10,10,0,0
5048,10,10,0,0
5047,10,10,0,0
5046,10,10,0,0
5045,10,4,4,2
5044,10,0,5,5
5043,10,7,1,2
5042,10,8,1,1
5041,10,8,0,2
5040,10,7,0,3
5039,10,4,1,5
5038,10,9,1,0
5037,10,8,1,1
5036,10,9,0,1
5035,10,5,5,0
5034,10,9,1,0
5033,10,10,0,0
5032,10,10,0,0
5031,10,10,0,0
5030,10,10,0,0
5029,10,10,0,0
5028,10,10,0,0
5027,10,10,0,0
5026,10,10,0,0
5025,10,10,0,0
5024,10,10,0,0
5023,10,10,0,0
5022,10,10,0,0
5021,10,10,0,0
5020,10,10,0,0
5019,10,10,0,0
5018,10,10,0,0
5017,10,10,0,0
5016,10,10,0,0
5015,10,10,0,0
5014,10,10,0,0
5013,10,10,0,0
5012,10,10,0,0
5011,10,10,0,0
5010,10,10,0,0
5009,10,10,0,0
5008,10,10,0,0
5007,10,10,0,0
5006,10,10,0,0
5005,10,10,0,0
5004,10,10,0,0
5003,10,10,0,0
5002,10,10,0,0
5001,10,10,0,0
5000,10,10,0,0
4999,10,10,0,0
4998,10,10,0,0
4997,10,10,0,0
4996,10,10,0,0
4995,10,10,0,0
4994,10,10,0,0
4993,10,10,0,0
4992,10,8,1,1
4991,10,4,2,4
4990,10,2,2,6
4989,10,1,2,7
4988,10,3,2,5
4987,10,8,0,2
4973,10,9,0,1
4972,10,10,0,0
4971,10,10,0,0
4970,10,3,2,5
4969,10,8,1,1
4968,10,9,0,1
4967,10,9,0,1
4966,10,9,0,1
4965,10,10,0,0
4964,10,10,0,0
4963,10,10,0,0
4962,10,10,0,0
4961,10,10,0,0
4960,10,10,0,0
4959,10,10,0,0
4958,10,10,0,0
4957,10,10,0,0
4956,10,10,0,0
4955,10,10,0,0
4954,10,10,0,0
4953,10,10,0,0
4952,10,10,0,0
4951,10,10,0,0
4950,10,10,0,0
4949,10,10,0,0
4948,10,10,0,0
4947,10,9,0,1
4946,10,3,2,5
4945,10,2,3,5
4944,10,1,4,5
4943,10,0,5,5
4942,10,2,4,4
4941,10,2,4,4
4940,10,10,0,0
4939,10,9,0,1
4938,10,9,0,1
4937,10,6,1,3
4936,10,8,0,2
4935,10,7,0,3
4934,10,10,0,0
4933,10,10,0,0
4932,10,10,0,0
4931,10,10,0,0
4930,10,10,0,0
4929,10,10,0,0
4928,10,10,0,0
4927,10,10,0,0
4926,10,10,0,0
4925,10,10,0,0
4924,10,10,0,0
4923,10,10,0,0
4922,10,10,0,0
4921,10,10,0,0
4920,10,9,0,1
4919,10,8,0,2
4918,10,9,0,1
4917,10,10,0,0
4916,10,10,0,0
4915,10,10,0,0
4914,10,10,0,0
4913,10,10,0,0
4912,10,10,0,0
4911,10,10,0,0
4910,10,10,0,0
4909,10,10,0,0
4908,10,10,0,0
4907,10,10,0,0
4906,10,10,0,0
4905,10,10,0,0
4904,10,10,0,0
4903,10,10,0,0
4902,10,10,0,0
4901,10,10,0,0
4900,10,10,0,0
4899,10,10,0,0
4898,10,10,0,0
4897,10,10,0,0
4896,10,10,0,0
4895,10,10,0,0
4894,10,10,0,0
4893,10,2,0,8
4892,10,1,0,9
4891,10,3,1,6
4890,10,0,4,6
4889,10,0,4,6
4888,10,2,2,6
4887,10,10,0,0
4886,10,10,0,0
4871,10,10,0,0
4870,10,8,0,2
4869,10,9,1,0
4868,10,4,2,4
4867,10,9,1,0
4866,10,6,0,4
4865,10,10,0,0
4864,10,10,0,0
4863,10,10,0,0
4862,10,10,0,0
4861,10,10,0,0
4860,10,10,0,0
4859,10,10,0,0
4858,10,10,0,0
4857,10,10,0,0
4856,10,10,0,0
4855,10,10,0,0
4854,10,10,0,0
4853,10,10,0,0
4852,10,10,0,0
4851,10,10,0,0
4850,10,10,0,0
4849,10,10,0,0
4848,10,10,0,0
4847,10,9,0,1
4846,10,10,0,0
4845,10,10,0,0
4844,10,2,1,7
4843,10,1,2,7
4842,10,3,2,5
4841,10,3,3,4
4840,10,2,3,5
4839,10,0,4,6
4838,10,1,4,5
4835,10,9,0,1
4834,10,7,0,3
4833,10,9,0,1
4832,10,10,0,0
4831,10,10,0,0
4830,10,10,0,0
4829,10,9,0,1
4828,10,10,0,0
4827,10,10,0,0
4826,10,10,0,0
4825,10,10,0,0
4824,10,10,0,0
4823,10,10,0,0
4822,10,10,0,0
4821,10,10,0,0
4820,10,10,0,0
4819,10,10,0,0
4818,10,10,0,0
4817,10,10,0,0
4816,10,8,0,2
4815,10,8,0,2
4814,10,10,0,0
4813,10,10,0,0
4812,10,9,0,1
4811,10,10,0,0
4810,10,10,0,0
4809,10,10,0,0
4808,10,10,0,0
4807,10,10,0,0
4806,10,10,0,0
4805,10,10,0,0
4804,10,10,0,0
4803,10,10,0,0
4802,10,10,0,0
4801,10,10,0,0
4800,10,10,0,0
4799,10,10,0,0
4798,10,6,3,1
4797,10,4,5,1
4796,10,4,3,3
4795,10,0,6,4
4794,10,1,5,4
4793,10,0,5,5
4792,10,2,3,5
4791,10,2,1,7
4790,10,0,1,9
4789,10,2,0,8
4788,10,4,1,5
4787,10,1,4,5
4786,10,1,4,5
4785,10,0,4,6
4784,10,10,0,0
4783,10,10,0,0
4770,10,9,0,1
4769,10,10,0,0
4768,10,10,0,0
4767,10,8,0,2
4766,10,7,1,2
4765,10,7,1,2
4764,10,8,1,1
4763,10,7,0,3
4762,10,10,0,0
4761,10,10,0,0
4760,10,10,0,0
4759,10,10,0,0
4758,10,10,0,0
4757,10,10,0,0
4756,10,10,0,0
4755,10,10,0,0
4754,10,10,0,0
4753,10,10,0,0
4752,10,10,0,0
4751,10,10,0,0
4750,10,10,0,0
4749,10,10,0,0
4748,10,10,0,0
4747,10,10,0,0
4746,10,10,0,0
4745,10,10,0,0
4744,10,10,0,0
4743,10,10,0,0
4742,10,10,0,0
4741,10,10,0,0
4740,10,0,1,9
4739,10,1,1,8
4738,10,0,2,8
4737,10,1,1,8
4736,10,3,1,6
4735,10,0,4,6
4734,10,0,4,6
4733,10,0,4,6
4727,10,10,0,0
4726,10,10,0,0
4725,10,10,0,0
4724,10,6,0,4
4723,10,10,0,0
4722,10,9,0,1
4721,10,10,0,0
4720,10,10,0,0
4719,10,10,0,0
4718,10,10,0,0
4717,10,10,0,0
4716,10,10,0,0
4715,10,10,0,0
4714,10,7,0,3
4713,10,9,0,1
4712,10,6,0,4
4711,10,6,0,4
4710,10,7,0,3
4709,10,8,0,2
4708,10,10,0,0
4707,10,9,0,1
4706,10,10,0,0
4705,10,10,0,0
4704,10,10,0,0
4703,10,10,0,0
4702,10,10,0,0
4701,10,10,0,0
4700,10,10,0,0
4699,10,10,0,0
4698,10,10,0,0
4697,10,7,0,3
4696,10,10,0,0
4695,10,10,0,0
4694,10,9,1,0
4693,10,4,6,0
4692,10,3,5,2
4691,10,0,7,3
4690,10,1,6,3
4689,10,1,5,4
4688,10,0,5,5
4687,10,2,3,5
4686,10,2,1,7
4685,10,0,1,9
4684,10,3,0,7
4683,10,2,2,6
4682,10,3,3,4
4681,10,0,5,5
4680,10,7,2,1
4679,10,10,0,0
4678,10,10,0,0
4666,10,10,0,0
4665,10,10,0,0
4664,10,10,0,0
4663,10,10,0,0
4662,10,9,0,1
4661,10,10,0,0
4660,10,8,0,2
4659,10,7,0,3
4658,10,10,0,0
4657,10,10,0,0
4656,10,10,0,0
4655,10,10,0,0
4654,10,10,0,0
4653,10,10,0,0
4652,10,10,0,0
4651,10,10,0,0
4650,10,10,0,0
4649,10,10,0,0
4648,10,10,0,0
4647,10,10,0,0
4646,10,10,0,0
4645,10,10,0,0
4644,10,10,0,0
4643,10,10,0,0
4642,10,10,0,0
4641,10,10,0,0
4640,10,10,0,0
4639,10,10,0,0
4638,10,10,0,0
4637,10,10,0,0
4636,10,10,0,0
4635,10,10,0,0
4634,10,1,1,8
4633,10,1,1,8
4632,10,0,2,8
4631,10,0,2,8
4630,10,2,1,7
4629,10,4,1,5
4628,10,4,1,5
4627,10,4,1,5
4620,10,10,0,0
4619,10,10,0,0
4618,10,10,0,0
4617,10,3,1,6
4616,10,10,0,0
4615,10,10,0,0
4614,10,10,0,0
4613,10,10,0,0
4612,10,10,0,0
4611,10,10,0,0
4610,10,10,0,0
4609,10,10,0,0
4608,10,8,0,2
4607,10,9,0,1
4606,10,9,0,1
4605,10,6,1,3
4604,10,9,1,0
4603,10,9,0,1
4602,10,9,0,1
4601,10,9,0,1
4600,10,6,0,4
4599,10,10,0,0
4598,10,10,0,0
4597,10,10,0,0
4596,10,10,0,0
4595,10,10,0,0
4594,10,10,0,0
4593,10,10,0,0
4592,10,10,0,0
4591,10,10,0,0
4590,10,10,0,0
4589,10,10,0,0
4588,10,0,7,3
4587,10,0,7,3
4586,10,10,0,0
4585,10,2,7,1
4584,10,1,6,3
4583,10,1,6,3
4582,10,2,4,4
4581,10,1,3,6
4580,10,2,1,7
4579,10,1,1,8
4578,10,2,1,7
4577,10,0,2,8
4576,10,3,2,5
4575,10,10,0,0
4574,10,10,0,0
4573,10,10,0,0
4572,10,9,0,1
4560,10,7,0,3
4559,10,10,0,0
4558,10,10,0,0
4557,10,10,0,0
4556,10,10,0,0
4555,10,10,0,0
4554,10,10,0,0
4553,10,10,0,0
4552,10,10,0,0
4551,10,10,0,0
4550,10,10,0,0
4549,10,10,0,0
4548,10,10,0,0
4547,10,10,0,0
4546,10,10,0,0
4545,10,10,0,0
4544,10,10,0,0
4543,10,10,0,0
4542,10,10,0,0
4541,10,10,0,0
4540,10,10,0,0
4539,10,10,0,0
4538,10,10,0,0
4537,10,10,0,0
4536,10,10,0,0
4535,10,10,0,0
4534,10,10,0,0
4533,10,10,0,0
4532,10,10,0,0
4531,10,10,0,0
4530,10,10,0,0
4529,10,10,0,0
4528,10,5,0,5
4527,10,2,0,8
4526,10,1,1,8
4525,10,0,2,8
4524,10,1,2,7
4523,10,0,3,7
4522,10,1,2,7
4521,10,1,2,7
4520,10,1,2,7
4513,10,10,0,0
4512,10,10,0,0
4511,10,0,3,7
4510,10,1,2,7
4509,10,0,3,7
4508,10,0,3,7
4507,10,1,2,7
4506,10,0,2,8
4505,10,0,2,8
4504,10,3,2,5
4503,10,8,0,2
4502,10,2,0,8
4501,10,3,1,6
4500,10,3,2,5
4499,10,6,1,3
4498,10,4,3,3
4497,10,9,1,0
4496,10,8,0,2
4495,10,8,0,2
4494,10,8,0,2
4493,10,9,0,1
4492,10,10,0,0
4491,10,10,0,0
4490,10,10,0,0
4489,10,10,0,0
4488,10,10,0,0
4487,10,10,0,0
