planning.unit,number,available,partial,reserved
4900,100,100,0,0
4899,100,100,0,0
4898,100,100,0,0
4897,100,96,2,2
4896,100,100,0,0
4895,100,100,0,0
4894,100,100,0,0
4893,100,25,15,60
4892,100,17,16,67
4891,100,20,22,58
4890,100,4,36,60
4889,100,4,38,58
4888,100,8,35,57
4887,100,100,0,0
4886,100,100,0,0
4871,100,96,0,4
4870,100,95,0,5
4869,100,54,9,37
4868,100,48,9,43
4867,100,86,2,12
4866,100,77,1,22
4865,100,90,0,10
4864,100,100,0,0
4863,100,100,0,0
4862,100,100,0,0
4861,100,100,0,0
4860,100,100,0,0
4859,100,100,0,0
4858,100,100,0,0
4857,100,100,0,0
4856,100,100,0,0
4855,100,100,0,0
4854,100,100,0,0
4853,100,100,0,0
4852,100,100,0,0
4851,100,100,0,0
4850,100,100,0,0
4849,100,100,0,0
4848,100,100,0,0
4847,100,98,0,2
4846,100,100,0,0
4845,100,94,0,6
4844,100,29,12,59
4843,100,26,17,57
4842,100,18,29,53
4841,100,25,33,42
4840,100,9,40,51
4839,100,13,38,49
4838,100,3,39,58
4835,100,95,0,5
4834,100,79,2,19
4833,100,97,0,3
4832,100,100,0,0
4831,100,100,0,0
4830,100,71,3,26
4829,100,98,1,1
4828,100,95,1,4
4827,100,100,0,0
4826,100,100,0,0
4825,100,100,0,0
4824,100,99,1,0
4823,100,100,0,0
4822,100,100,0,0
4821,100,100,0,0
4820,100,100,0,0
4819,100,100,0,0
4818,100,98,0,2
4817,100,100,0,0
4816,100,77,2,21
4815,100,88,0,12
4814,100,100,0,0
4813,100,100,0,0
4812,100,99,0,1
4811,100,100,0,0
4810,100,100,0,0
4809,100,100,0,0
4808,100,100,0,0
4807,100,100,0,0
4806,100,100,0,0
4805,100,100,0,0
4804,100,100,0,0
4803,100,100,0,0
4802,100,100,0,0
4801,100,100,0,0
4800,100,95,2,3
4799,100,100,0,0
4798,100,71,18,11
4797,100,31,42,27
4796,100,20,43,37
4795,100,5,50,45
4794,100,15,44,41
4793,100,25,39,36
4792,100,29,31,40
4791,100,22,25,53
4790,100,4,29,67
4789,100,21,18,61
4788,100,24,25,51
4787,100,16,31,53
4786,100,12,32,56
4785,100,13,32,55
4784,100,100,0,0
4783,100,100,0,0
4770,100,96,1,3
4769,100,100,0,0
4768,100,85,1,14
4767,100,70,5,25
4766,100,65,8,27
4765,100,78,6,16
4764,100,71,5,24
4763,100,72,3,25
4762,100,100,0,0
4761,100,100,0,0
4760,100,100,0,0
4759,100,100,0,0
4758,100,100,0,0
4757,100,100,0,0
4756,100,100,0,0
4755,100,100,0,0
4754,100,100,0,0
4753,100,100,0,0
4752,100,100,0,0
4751,100,100,0,0
4750,100,100,0,0
4749,100,100,0,0
4748,100,100,0,0
4747,100,100,0,0
4746,100,100,0,0
4745,100,100,0,0
4744,100,100,0,0
4743,100,99,0,1
4742,100,100,0,0
4741,100,99,0,1
4740,100,4,15,81
4739,100,9,15,76
4738,100,13,21,66
4737,100,7,30,63
4736,100,19,26,55
4735,100,15,32,53
4734,100,4,39,57
4733,100,0,39,61
4727,100,99,0,1
4726,100,100,0,0
4725,100,100,0,0
4724,100,60,2,38
4723,100,84,3,13
4722,100,99,0,1
4721,100,100,0,0
4720,100,100,0,0
4719,100,100,0,0
4718,100,100,0,0
4717,100,100,0,0
4716,100,100,0,0
4715,100,98,0,2
4714,100,84,0,16
4713,100,80,2,18
4712,100,73,2,25
4711,100,75,4,21
4710,100,78,4,18
4709,100,81,2,17
4708,100,87,0,13
4707,100,85,0,15
4706,100,99,0,1
4705,100,100,0,0
4704,100,100,0,0
4703,100,100,0,0
4702,100,100,0,0
4701,100,100,0,0
4700,100,98,0,2
4699,100,100,0,0
4698,100,100,0,0
4697,100,78,1,21
4696,100,97,1,2
4695,100,96,2,2
4694,100,63,28,9
4693,100,23,52,25
4692,100,25,54,21
4691,100,22,48,30
4690,100,8,49,43
4689,100,8,47,45
4688,100,7,47,46
4687,100,17,37,46
4686,100,20,27,53
4685,100,10,29,61
4684,100,25,23,52
4683,100,8,37,55
4682,100,13,35,52
4681,100,6,36,58
4680,100,64,11,25
4679,100,100,0,0
4678,100,100,0,0
4666,100,100,0,0
4665,100,94,1,5
4664,100,94,0,6
4663,100,99,0,1
4662,100,99,0,1
4661,100,100,0,0
4660,100,91,1,8
4659,100,80,1,19
4658,100,95,0,5
4657,100,100,0,0
4656,100,100,0,0
4655,100,100,0,0
4654,100,100,0,0
4653,100,100,0,0
4652,100,100,0,0
4651,100,100,0,0
4650,100,100,0,0
4649,100,100,0,0
4648,100,100,0,0
4647,100,100,0,0
4646,100,100,0,0
4645,100,100,0,0
4644,100,100,0,0
4643,100,100,0,0
4642,100,100,0,0
4641,100,100,0,0
4640,100,100,0,0
4639,100,100,0,0
4638,100,100,0,0
4637,100,100,0,0
4636,100,100,0,0
4635,100,100,0,0
4634,100,6,15,79
4633,100,10,15,75
4632,100,9,22,69
4631,100,6,30,64
4630,100,10,26,64
4629,100,17,24,59
4628,100,27,22,51
4627,100,29,20,51
4620,100,100,0,0
4619,100,100,0,0
4618,100,94,2,4
4617,100,74,3,23
4616,100,99,1,0
4615,100,100,0,0
4614,100,100,0,0
4613,100,100,0,0
4612,100,99,1,0
4611,100,99,0,1
4610,100,99,0,1
4609,100,100,0,0
4608,100,87,1,12
4607,100,76,2,22
4606,100,87,2,11
4605,100,88,3,9
4604,100,81,3,16
4603,100,69,2,29
4602,100,84,0,16
4601,100,86,2,12
4600,100,89,0,11
4599,100,96,0,4
4598,100,100,0,0
4597,100,100,0,0
4596,100,100,0,0
4595,100,100,0,0
4594,100,100,0,0
4593,100,100,0,0
4592,100,100,0,0
4591,100,100,0,0
4590,100,100,0,0
4589,100,96,2,2
4588,100,0,56,44
4587,100,1,56,43
4586,100,85,7,8
4585,100,30,47,23
4584,100,12,52,36
4583,100,13,53,34
4582,100,16,44,40
4581,100,13,40,47
4580,100,14,34,52
4579,100,12,31,57
4578,100,15,30,55
4577,100,3,38,59
4576,100,27,28,45
4575,100,97,1,2
4574,100,99,0,1
4573,100,96,0,4
4572,100,89,2,9
4560,100,70,0,30
4559,100,99,0,1
4558,100,99,0,1
4557,100,92,0,8
4556,100,100,0,0
4555,100,100,0,0
4554,100,99,0,1
4553,100,99,0,1
4552,100,100,0,0
4551,100,100,0,0
4550,100,100,0,0
4549,100,100,0,0
4548,100,100,0,0
4547,100,100,0,0
4546,100,100,0,0
4545,100,100,0,0
4544,100,100,0,0
4543,100,100,0,0
4542,100,100,0,0
4541,100,100,0,0
4540,100,100,0,0
4539,100,100,0,0
4538,100,100,0,0
4537,100,100,0,0
4536,100,100,0,0
4535,100,100,0,0
4534,100,100,0,0
4533,100,100,0,0
4532,100,100,0,0
4531,100,100,0,0
4530,100,100,0,0
4529,100,100,0,0
4528,100,68,2,30
4527,100,23,8,69
4526,100,17,13,70
4525,100,12,20,68
4524,100,6,28,66
4523,100,11,26,63
4522,100,17,21,62
4521,100,22,14,64
4520,100,22,14,64
4513,100,100,0,0
4512,100,100,0,0
4511,100,10,32,58
4510,100,6,34,60
4509,100,1,39,60
4508,100,8,34,58
4507,100,22,23,55
4506,100,2,31,67
4505,100,6,29,65
4504,100,65,7,28
4503,100,84,4,12
4502,100,22,28,50
4501,100,13,28,59
4500,100,37,24,39
4499,100,54,20,26
4498,100,47,23,30
4497,100,54,15,31
4496,100,80,3,17
4495,100,78,3,19
4494,100,75,7,18
4493,100,90,1,9
4492,100,100,0,0
4491,100,90,10,0
4490,100,100,0,0
4489,100,100,0,0
4488,100,100,0,0
4487,100,100,0,0
